{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A},42000,21/12/1995 00:00,NE4 9DN,S,N,F,8,,MATFEN PLACE,FENHAM,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{1B40A6D3-0C66-413F-9D94-83B862B69E9C},270000,01/09/1995 00:00,SW5 0DU,F,N,L,COLEHERNE COURT,FLAT 188,REDCLIFFE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0B7217B7-DDC5-4A48-A540-D496399BD9E3},266000,24/01/1995 00:00,SW3 5TD,F,N,L,109,LOWER MAISONETTE,FLOOD STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B62AEB0A-E8A5-4BB8-9B01-D11807B09358},180000,20/03/1995 00:00,W8 4PD,F,N,L,"OLD COURT HOUSE, 24",FLAT 29,OLD COURT PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{92C5EA59-0DAE-49F7-9A49-705BEFCCE787},185000,21/12/1995 00:00,SW7 5PH,F,N,L,22,FLAT D,QUEENS GATE TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1BF5525E-C576-442C-8709-705C4A1B874D},89000,11/08/1995 00:00,SW3 3JQ,F,N,L,SLOANE AVENUE MANSIONS,FLAT C13,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{BC408CFD-7E37-4562-B085-777B95266C25},674999,26/07/1995 00:00,SW3 3TY,T,N,L,1,,BRITTEN STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AAB21EBC-6C48-4077-9468-873E6F057C3D},150000,10/05/1995 00:00,W11 2NH,F,N,L,2,BASEMENT AND GROUND FLOOR MAISONETTE,LANSDOWNE CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7E92BF29-8BE2-4590-A803-705E270D9A31},215000,12/10/1995 00:00,SW7 4HW,T,N,F,6,,OSTEN MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{21AA909A-2EA7-41FC-B345-D11AA06D5DE7},100000,04/09/1995 00:00,SW3 5AG,F,N,L,BEAUFORT MANSIONS,FLAT 29,BEAUFORT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{96271576-0A14-417E-85A2-8ACD69B37A1E},780000,31/01/1995 00:00,SW10 9NN,T,N,F,30,,CATHCART ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0754A486-57B0-4028-B04F-7EA37FF2D9DA},190000,02/08/1995 00:00,SW3 4TG,F,N,L,14 - 18,FLAT F,,LUSTRELLS VALE,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F0BD5B86-CB38-4965-8E30-7EA489FC3360},355000,27/07/1995 00:00,W14 8DW,F,N,L,CARLTON MANSIONS,FLAT 4,HOLLAND PARK GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1F9D020F-964E-49FF-8B6C-83C0BF4AC584},150000,28/02/1995 00:00,SW10 0TQ,F,N,L,9B,,EDITH TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{369DF218-9B2A-4C3E-8A74-A68FD2AB3887},163000,04/12/1995 00:00,SW7 4AZ,F,N,L,79D,,CORNWALL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
